ADS_ACTION_KEY|api\content\bulk-create-ads.js,api\content\create-predis-ad.js,api\content\generate-blog-image.js,api\cron\ad-daily-close.js,api\cron\ad-midday-check.js,api\cron\ad-morning.js,api\cron\ad-optimization-engine.js,api\cron\ad-optimization-report.js,api\cron\ad-performance-sync.js,lib\meta-ads.js
ADS_MAX_DAILY_BUDGET|lib\meta-ads.js
ADS_OPTIMIZATION_LOOKBACK_DAYS|lib\meta-insights-fetcher.js
ADS_OPTIMIZATION_MODE|api\webhook\telegram-callback.js,lib\ad-advisor.js,lib\ad-rules-engine.js,scripts\optimize-now.js
AI_OPTIMIZER_ENABLED|lib\ai-system-optimizer.js
AI_TOKEN_BUDGET_DAILY|lib\ai-system-optimizer.js
ANTHROPIC_API_KEY|api\ads\actions.js,api\ads\auto-rules.js,api\ads\billing.js,api\ads\campaign-status.js,api\cron\content-review.js,lib\ad-advisor.js,lib\ad-copy-auditor.js,lib\ad-fatigue-tracker.js,lib\ad-optimization-logger.js,lib\ai-system-optimizer.js,lib\alert-dedup.js,lib\approval-queue.js,lib\brand-guardrails.js,lib\brief-store.js,lib\campaign-builder.js,lib\creative-reviser.js,lib\dates.js,lib\dedup-guard.js,lib\telegram-content-review.js,scripts\cro-analysis.js,scripts\emq-audit.js,scripts\translation-audit.js
AUTO_SCALE_ENABLED|lib\ad-rules-engine.js
BILLING_THRESHOLD|lib\meta-insights-source.js
CAPI_BASE_URL|lib\ad-action-executor.js,scripts\bootstrap.js
CAPI_ENABLED|api\index.js,lib\meta-capi.js
CONTENT_AUTO_PUBLISH_CONFIDENCE_THRESHOLD|lib\publisher.js
CONTENT_AUTOMATION_MODE|lib\publisher.js,lib\telegram-content-review.js,scripts\optimize-now.js
CONTENT_ENABLE_PREDIS|lib\predis-client.js
CRON_SECRET|api\ai\incident-analysis.js,api\approval\approve.js,api\approval\reject.js,api\approval\status.js,api\cron\ai-architectural.js,api\cron\ai-strategic.js,api\cron\ai-tactical.js,api\cron\anomaly-watch.js,api\cron\bridge-health.js,api\cron\content-generate.js,api\cron\content-insights.js,api\cron\content-morning.js,api\cron\content-plan.js,api\cron\content-publish.js,api\cron\content-reflect.js,api\cron\dedup-audit.js,api\cron\emq-deep.js,api\cron\gads-upload.js,api\cron\identity-backfill.js,api\cron\identity-cleanup.js,api\cron\pixel-diag.js,api\cron\reconciliation.js,api\cron\webhook-audit.js,api\google\oauth\callback.js,api\google\oauth\health.js,api\google\oauth\start.js,api\identity\capture.js,api\recovery\run.js,lib\qstash-verify.js,lib\rate-limited-fetch.js,scripts\bootstrap.js,scripts\create-scandinavian-shipping.js
DIAGNOSTICS_KEY|api\ads\check-permissions.js,api\content\bulk-create-ads.js,api\google\oauth\health.js,api\test\social-preflight.js,api\test\social-publish-test.js,api\webhook\carts-create.js,api\webhook\checkouts-create.js,api\webhook\customers-create.js,api\webhook\orders-paid.js,api\webhook\predis-callback.js,api\diagnostics.js,lib\meta-ads.js
ENABLE_AD_WRITES|api\webhook\telegram-callback.js,lib\ad-advisor.js,lib\campaign-builder.js,lib\capi-diagnostics.js,lib\caption-writer.js,lib\compliance-checker.js,lib\content-briefs.js,lib\content-memory.js,lib\content-performance-loop.js,lib\content-planner.js,lib\content-scorer.js,lib\creative-brief-builder.js,lib\meta-api-client.js
ENABLE_CONTENT_PUBLISH|lib\publisher.js
FACEBOOK_PAGE_ID|api\test\social-preflight.js,api\webhook\telegram-callback.js,lib\social-publisher.js
GA4_API_SECRET|api\google\oauth\health.js,api\index.js,lib\ga4-mp.js
GA4_ENABLED|api\cron\reconciliation.js,api\google\oauth\health.js,api\index.js,lib\ga4-mp.js
GA4_MEASUREMENT_ID|api\google\oauth\health.js,api\index.js,lib\ga4-mp.js
GA4_PROPERTY_ID|api\google\oauth\health.js,api\index.js
GA4_STREAM_ID|api\google\oauth\health.js,api\index.js
GITHUB_REPO|api\ads\monitor.js,api\ads\performance.js
GITHUB_TOKEN|api\ads\monitor.js
GOOGLE_ADS_CONVERSION_ACTION_ID|api\google\oauth\health.js,api\index.js,lib\google-ads-oci.js
GOOGLE_ADS_CUSTOMER_ID|api\google\oauth\health.js,api\index.js,lib\google-ads-oci.js
GOOGLE_ADS_DEVELOPER_TOKEN|api\google\oauth\health.js,api\index.js,lib\google-ads-oci.js
GOOGLE_ADS_ENABLED|api\google\oauth\health.js,api\index.js,lib\google-ads-oci.js
GOOGLE_ADS_MANAGER_ID|api\google\oauth\health.js,api\index.js,lib\google-ads-oci.js
GOOGLE_CLOUD_PROJECT_ID|api\google\oauth\health.js
GOOGLE_ENABLED|api\google\oauth\health.js,api\index.js,api\view-content.js,lib\multi-platform-send.js,lib\nl-postcode-province.js
GOOGLE_OAUTH_CLIENT_ID|lib\google-oauth.js,scripts\google-auth-local.js
GOOGLE_OAUTH_CLIENT_SECRET|lib\google-oauth.js,scripts\google-auth-local.js
GOOGLE_OAUTH_REDIRECT_URI|lib\google-oauth.js,lib\hash.js
INSTAGRAM_ACCOUNT_ID|api\test\social-preflight.js,lib\social-publisher.js
MAX_ADSET_BUDGET|lib\ad-rules-engine.js
MAX_DAILY_SPEND|lib\ad-rules-engine.js
META_ACCESS_TOKEN|api\ads\check-permissions.js,api\ads\content-pipeline.js,api\cron\pixel-diag.js,api\test\social-preflight.js,api\index.js,lib\ad-copy-auditor.js,lib\meta-ads.js,lib\meta-api-client.js,lib\meta-capi.js,lib\social-publisher.js
META_AD_ACCOUNT_ID|lib\ad-copy-auditor.js,lib\meta-ads.js,lib\meta-api-client.js
META_API_VERSION|api\cron\pixel-diag.js,lib\meta-capi.js
META_GRAPH_API_VERSION|lib\ad-copy-auditor.js,lib\meta-api-client.js,lib\social-publisher.js
META_OPTIMIZER_AUTO_BUDGET_ADJUST|api\ads\monitor.js
META_OPTIMIZER_AUTO_PAUSE|api\ads\monitor.js
META_PIXEL_ID|api\ads\create-campaign.js,api\ads\event-counts.js,api\ads\list-ads.js,api\ads\monitor-callback.js,api\cron\pixel-diag.js,api\diagnostics.js,api\index.js,lib\campaign-builder.js,lib\meta-capi.js,lib\meta-insights-source.js,scripts\emq-audit.js,scripts\enable-chf.js,scripts\fix-image-translations.js,scripts\generate-ad-images.js,scripts\generate-blog-images.js
META_TEST_EVENT_CODE|api\diagnostics.js,lib\meta-capi.js
NODE_ENV|lib\store.js
OPENAI_API_KEY|lib\image-generator.js,lib\limits.js
PREDIS_API_KEY|lib\predis-client.js,lib\predis.js
PREDIS_BASE_URL|lib\predis-client.js
PREDIS_BRAND_ID|lib\predis-client.js,lib\predis-job-store.js,lib\predis-payload-builder.js,lib\predis.js
PREDIS_PROVIDER|lib\predis-client.js
PREDIS_WEBHOOK_SECRET|api\webhooks\predis-callback.js,api\add-to-cart.js,api\checkout-event.js
QSTASH_CURRENT_SIGNING_KEY|lib\qstash-verify.js,scripts\bootstrap.js
QSTASH_NEXT_SIGNING_KEY|lib\qstash-verify.js,scripts\bootstrap.js
QSTASH_TOKEN|scripts\bootstrap.js
QSTASH_VERIFY_URL|lib\qstash-verify.js
SHOPIFY_ADMIN_ACCESS_TOKEN|lib\env-validator.js,lib\event-state.js,lib\shopify-admin.js,scripts\markets-setup.js,scripts\publish-scandinavian-locales.js,scripts\register-full-translations.js,scripts\register-store-translations.js,scripts\register-theme-translations.js,scripts\scandinavie-setup.js
SHOPIFY_STORE_DOMAIN|lib\shopify-admin.js,lib\shopify-products.js,scripts\markets-setup.js,scripts\publish-scandinavian-locales.js,scripts\register-store-translations.js
SHOPIFY_WEBHOOK_SECRET|lib\webhook-utils.js,scripts\apply-changes.js,scripts\audit-calqix-branding.js
TARGET_CPA|lib\ad-rules-engine.js
